ID;Última Actualización;Razón Social;Calle;Número;ID Comuna;Comuna;ID Región;Región;Horario de Atención;Distribuidor;Distribuidor Logo;Distribuidor Logo SVG;Distribuidor Logo SVG Horizontal;Gasolina 93 $/L;Gasolina 97 $/L;Petróleo Diesel $/L;Gasolina 95 $/L;GLP Vehicular $/m3;GNC $/m3;Latitud;Longitud;Tienda;Farmacia;Mantención;Autoservicio;Pago Efectivo;Cheque;Tarjetas Bancarias;Tarjeta Grandes Tiendas
ul1510101;07/05/2020 12:34;Envasadora transporte y distribuidora ULI ROD Limitada / Rut: 78571570-5;Barros Arana;3081;15101;Arica;15;Arica y Parinacota;24 horas;Uligas;http://api.cne.cl/brands/logo38.jpg;http://api.cne.cl/brands/uligas.svg;http://api.cne.cl/brands/uligas-horizontal.svg;;;;;417;;-1,84587E+13;-7,02889E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
ul1510102;19/11/2020 10:01;SOCIEDAD DE INVERSIONES Y COMERCIAL LEPE Y ALAMO / RUT: 77.400.890-K;AV. SIMON BOLIVAR 085;0;15101;Arica;15;Arica y Parinacota;24 horas;Sin bandera;http://api.cne.cl/brands/logo10.jpg;http://api.cne.cl/brands/sin bandera.svg;http://api.cne.cl/brands/sin bandera-horizontal.svg;;;454;746;;;-18397726;-70293703;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
ul1510102A;05/11/2020 9:09;COMBUSTBLES Y SERVICIOS LEPE Y ALAMO LTDA;AV. SIMON BOLIVAR;85;15101;Arica;15;Arica y Parinacota;24 horas;Sin bandera;http://api.cne.cl/brands/logo10.jpg;http://api.cne.cl/brands/sin bandera.svg;http://api.cne.cl/brands/sin bandera-horizontal.svg;;;484;;;;-184782534;-703125988;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
ab640101;08/01/2021 9:48;Hern?n del Carmen Luengo Mardones;itata;403;16101;Chillán;16;Ñuble;24 horas;Abastible;http://api.cne.cl/brands/logo23.jpg;http://api.cne.cl/brands/abastible.svg;http://api.cne.cl/brands/abastible-horizontal.svg;;;;;1319;;-366008292;-721033727;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;FALSO;FALSO
ag840101;04/02/2021 15:00;Autogasco;o'higgins;3250;16101;Chillán;16;Ñuble;24 horas;Autogasco;http://api.cne.cl/brands/logo28.jpg;http://api.cne.cl/brands/autogasco.svg;http://api.cne.cl/brands/autogasco-horizontal.svg;;;;;421;;-3,66E+13;-7,21116E+13;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO;FALSO
co840101;04/02/2021 18:13;Administradora De Ventas Al Detalle Ltda;PANAMERICANA NORTE;715;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;759;817;530;792;;;-3,65898E+13;-7,21028E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co840102;04/02/2021 9:44;GABRIEL FERNANDEZ SILVA/ RUT: 5.474.334-3;O' HIGGINS;613;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;757;815;527;790;;;-3,66061E+13;-7,21088E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co840104;04/02/2021 12:01;Comercial Machuca y Yañez;AV. LOS PUELCHES;363;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;756;812;527;789;;;-3,66193E+13;-7,20854E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
co840105;04/02/2021 13:10;SOC. COM.BRAVO PAVEZ LTDA. / RUT: 76.258.687-8;AVDA. ANDRÉS BELLO;1491;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;756;818;528;792;;;-3,65907E+13;-7,207E+13;VERDADERO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co840106;04/02/2021 10:03;Sociedad Comercial Godoy y Acevedo Limitada;AV. ECUADOR;147;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;759;817;530;792;;;-3,65978E+13;-7,21068E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
co840107;04/02/2021 12:35;Rodolfo Orlando Fuentes Contreras;Avda Collin;1101;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;754;815;526;790;422;;-3,66166E+13;-7,20976E+13;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
co840109;04/02/2021 9:35;COMERCIAL TERRANIEVE LIMITADA;AV. ARGENTINA;797;16101;Chillán;16;Ñuble;24 horas;Copec;http://api.cne.cl/brands/logo5.jpg;http://api.cne.cl/brands/copec.svg;http://api.cne.cl/brands/copec-horizontal.svg;748;810;520;784;;;-3,66122E+13;-7,2094E+13;VERDADERO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
co840111;10/02/2021 23:19;Cotacotek Ltda.;20 de agosto;25;16101;Chillán;16;Ñuble;24 horas;Sin bandera;http://api.cne.cl/brands/logo10.jpg;http://api.cne.cl/brands/sin bandera.svg;http://api.cne.cl/brands/sin bandera-horizontal.svg;756;;528;784;;;-3,6617E+13;-7,21309E+12;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;FALSO
hn840101;11/02/2021 7:29;HUGO NAJLE HAYE;AVENIDA LIBERTADOR BDO OHIGGINS;1982;16101;Chillán;16;Ñuble;06:00 AM HASTA 00:00 HRS;Hn;http://api.cne.cl/brands/logo25.jpg;http://api.cne.cl/brands/hn.svg;http://api.cne.cl/brands/hn-horizontal.svg;759;;532;795;;;-3,66203E+13;-7,21219E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO
pb840101;04/02/2021 9:34;Asociación Gremial Dueños de taxis colectivos Río Viejo, Rut. 71.122.300-2;Rio Viejo;1320;16101;Chillán;16;Ñuble;7:30 a 21:30;Sin bandera;http://api.cne.cl/brands/logo10.jpg;http://api.cne.cl/brands/sin bandera.svg;http://api.cne.cl/brands/sin bandera-horizontal.svg;754;;525;779;;;-3,66307E+13;-7,20844E+13;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO;FALSO;FALSO
pb840103;04/02/2021 16:13;XIMENA SOLIS E.I.R.L.;Av. Los Puelches;1335;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;756;812;526;789;;;-3,66211E+13;-7,2086E+13;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO
pb840105;04/02/2021 9:50;Robustiano Silva Vidal Comercializadora, Distribuidora y Prestaciï¿½n de Servic;Coquimbo;38;16101;Chillán;16;Ñuble;07:00 a 23:00;Sin bandera;http://api.cne.cl/brands/logo10.jpg;http://api.cne.cl/brands/sin bandera.svg;http://api.cne.cl/brands/sin bandera-horizontal.svg;763;;534;788;;;-366057856;-721272346;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
pe840101;04/02/2021 11:43;COMERCIAL DELCASER LIMITADA;Palermo;280;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;754;815;526;790;;;-3,66195E+13;-7,21115E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;FALSO
pe840102;04/02/2021 8:49;Juan Francisco del Pino Umanzor EIRL;av.Argentina;550;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;746;808;518;782;;;-3,66088E+13;-7,20937E+13;VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
pe840103;04/02/2021 8:23;COMERCIAL E INMOBILIARIA DEL PINO SPA 76.602.830-6;Arauco;812;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;746;808;518;782;;;-3,661E+13;-7,21042E+13;VERDADERO;FALSO;FALSO;VERDADERO;VERDADERO;FALSO;VERDADERO;VERDADERO
pe840104;04/02/2021 9:02;Juan Francisco del Pino Umanzor E.I.R.L;Panamericana Sur km. 403 - Oriente;0;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;759;817;530;792;;;-3,65905E+13;-7,21029E+13;FALSO;FALSO;FALSO;FALSO;VERDADERO;VERDADERO;VERDADERO;VERDADERO
pe840105;04/02/2021 10:04;XIMENA ANDREA SOLIS HERNANDEZ EIRL;Av. O'Higgins;799;16101;Chillán;16;Ñuble;24 horas;Petrobras;http://api.cne.cl/brands/logo2.jpg;http://api.cne.cl/brands/petrobras.svg;http://api.cne.cl/brands/petrobras-horizontal.svg;766;809;533;792;;;-3,66084E+13;-7,21096E+13;FALSO;FALSO;VERDADERO;FALSO;VERDADERO;VERDADERO;VERDADERO;FALSO
